Species_Code,Common_Name,Scientific_Name,Date,Bird_Count,lat,lng,subId,Notable_Normal,Year,Month,Day,Family_Name
limpki,Limpkin,Aramus guarauna,2021-07-30 07:00,8.0,27.608256,-81.2639125,S92514645,1,2021,7,30,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-30 06:58,2.0,27.6087151,-81.1907992,S92574776,1,2021,7,30,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-30 06:53,1.0,26.294,-81.486,S92496598,1,2021,7,30,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-30 06:41,2.0,29.857,-95.164,S92498948,1,2021,7,30,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-30 06:28,2.0,29.8821415,-95.1872635,S92495703,1,2021,7,30,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-30 06:27,1.0,27.172589,-80.396088,S92492727,1,2021,7,30,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-30 06:25,2.0,27.9123525,-81.1302567,S92500177,1,2021,7,30,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-29 20:45,1.0,27.3452256,-82.4652072,S92577599,1,2021,7,29,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-29 19:55,1.0,26.2949452,-81.4159482,S92482225,1,2021,7,29,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-29 19:04,5.0,26.7813214,-81.7547172,S92482330,1,2021,7,29,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-29 18:52,3.0,29.881803,-95.185903,S92485022,1,2021,7,29,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-29 16:15,1.0,28.8445656,-81.9554168,S92475923,1,2021,7,29,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-29 15:45,1.0,27.8763584,-82.8090332,S92482616,1,2021,7,29,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-29 14:19,1.0,26.684909,-80.39089,S92518904,1,2021,7,29,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-29 13:30,1.0,26.4928139,-80.2168894,S92476134,1,2021,7,29,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-29 10:29,3.0,28.8038639,-81.8773778,S92462695,1,2021,7,29,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-29 09:48,1.0,27.6084606,-80.4772731,S92459855,1,2021,7,29,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-29 09:33,1.0,27.2344907,-82.3113895,S92466936,1,2021,7,29,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-29 08:40,1.0,26.726145,-81.652422,S92501137,1,2021,7,29,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-29 08:09,2.0,26.2768695,-80.214057,S92455504,1,2021,7,29,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-29 08:00,5.0,29.070806,-81.413014,S92484149,1,2021,7,29,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-29 07:31,2.0,28.060513,-82.0305884,S92455179,1,2021,7,29,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-29 07:24,1.0,27.0315137,-81.066569,S92582158,1,2021,7,29,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-29 07:22,1.0,28.0400161,-82.6979113,S92453095,1,2021,7,29,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-29 07:16,3.0,26.3140166,-81.6349089,S92457300,1,2021,7,29,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-29 06:35,1.0,28.0424203,-81.2065585,S92456739,1,2021,7,29,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-28 20:30,2.0,27.04598,-82.39989,S92441463,1,2021,7,28,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-28 19:41,1.0,27.70151,-82.359709,S92441017,1,2021,7,28,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-28 18:13,4.0,27.9109361,-81.1496745,S92437749,1,2021,7,28,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-28 17:30,10.0,26.6012,-80.0828,S92475789,1,2021,7,28,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-28 17:13,1.0,28.094794,-82.706551,S92434910,1,2021,7,28,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-28 16:49,1.0,26.6997339,-80.2336133,S92431985,1,2021,7,28,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-28 16:41,1.0,28.3713614,-81.5490365,S92443446,1,2021,7,28,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-28 14:44,1.0,28.796178,-81.736195,S92426935,1,2021,7,28,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-28 10:04,1.0,26.5716209,-81.8258929,S92419531,1,2021,7,28,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-28 09:24,1.0,27.9088787,-81.1642027,S92413827,1,2021,7,28,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-28 08:59,1.0,33.4808517,-84.3001986,S92413687,1,2021,7,28,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-28 08:55,1.0,27.6630729,-82.4998085,S92424432,1,2021,7,28,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-28 08:00,1.0,26.5052465,-80.1397812,S92559528,1,2021,7,28,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-28 07:00,2.0,26.8405153,-80.1664022,S92419530,1,2021,7,28,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-28 06:53,1.0,27.0402714,-81.6780495,S92435654,1,2021,7,28,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-27 20:04,3.0,28.044069,-81.9518495,S92397571,1,2021,7,27,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-27 19:47,1.0,28.290989,-81.397614,S92395581,1,2021,7,27,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-27 17:59,1.0,28.228577,-80.7604659,S92399506,1,2021,7,27,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-27 09:50,1.0,26.1156777,-80.2391624,S92383256,1,2021,7,27,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-27 09:45,3.0,30.39726,-90.42913,S92374486,1,2021,7,27,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-27 08:32,3.0,26.1469438,-80.6291342,S92368663,1,2021,7,27,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-27 08:30,1.0,28.097613,-81.7327452,S92398018,1,2021,7,27,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-27 08:24,1.0,27.7248069,-82.6501069,S92373877,1,2021,7,27,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-27 08:14,2.0,27.4433159,-81.2864685,S92372649,1,2021,7,27,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-27 07:29,3.0,27.272623,-80.427361,S92363873,1,2021,7,27,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-27 07:15,2.0,27.9808903,-82.6988574,S92367486,1,2021,7,27,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-26 15:59,4.0,27.9923609,-81.4062645,S92347380,1,2021,7,26,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-26 14:51,2.0,30.474417,-84.237235,S92337200,1,2021,7,26,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-26 14:07,1.0,27.5731506,-80.4687595,S92338076,1,2021,7,26,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-26 12:06,1.0,28.371344,-81.51448,S92330708,1,2021,7,26,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-26 10:32,1.0,28.2254954,-80.7144928,S92392388,1,2021,7,26,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-26 08:46,1.0,28.3179822,-81.5405166,S92323359,1,2021,7,26,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-26 08:45,1.0,28.3763868,-81.522955,S92321065,1,2021,7,26,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-26 08:13,1.0,27.9093,-81.2689,S92323655,1,2021,7,26,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-26 08:01,1.0,26.375481,-81.603896,S92327408,1,2021,7,26,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-26 07:01,1.0,28.1271627,-81.4707577,S92317427,1,2021,7,26,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-25 19:17,2.0,26.8265333,-81.0767608,S92304219,1,2021,7,25,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-25 18:34,1.0,26.4490491,-81.9471502,S92305701,1,2021,7,25,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-25 18:10,2.0,27.884882,-82.251458,S92299148,1,2021,7,25,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-25 15:39,1.0,27.3277717,-80.4516556,S92291945,1,2021,7,25,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-25 15:33,2.0,27.254406,-80.48105,S92299718,1,2021,7,25,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-25 14:21,4.0,29.1092685,-81.3752445,S92286979,1,2021,7,25,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-25 13:45,1.0,27.815778,-82.6926434,S92293882,1,2021,7,25,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-25 13:07,1.0,30.374023,-81.7898762,S92284106,1,2021,7,25,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-25 11:20,1.0,28.699689,-81.413802,S92275909,1,2021,7,25,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-25 10:38,2.0,28.1877141,-82.6102781,S92274390,1,2021,7,25,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-25 09:45,8.0,26.5019164,-81.1724854,S92455681,1,2021,7,25,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-25 08:10,1.0,26.375442,-81.6040206,S92275218,1,2021,7,25,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-25 08:06,1.0,26.631443,-80.2332294,S92267476,1,2021,7,25,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-25 07:54,1.0,26.3133434,-80.9832287,S92455675,1,2021,7,25,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-25 07:47,1.0,27.8644221,-82.2279855,S92309304,1,2021,7,25,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-25 07:44,2.0,28.04403,-81.2239629,S92368509,1,2021,7,25,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-25 07:40,2.0,25.7646485,-80.8198929,S92269534,1,2021,7,25,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-25 07:09,3.0,26.8178063,-80.1170548,S92266386,1,2021,7,25,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-25 07:06,1.0,26.0644726,-80.3783519,S92266741,1,2021,7,25,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-25 06:50,2.0,26.5374747,-81.8545818,S92265352,1,2021,7,25,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-25,1.0,27.4537129,-81.3137412,S92420818,1,2021,7,25,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-24 20:20,2.0,29.606645,-82.303383,S92251441,1,2021,7,24,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-24 18:28,2.0,27.885124,-82.251976,S92246212,1,2021,7,24,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-24 18:21,2.0,29.366906,-95.622356,S92253267,1,2021,7,24,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-24 18:05,1.0,28.6694282,-81.5832281,S92245344,1,2021,7,24,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-24 12:46,3.0,29.6068756,-82.3031116,S92230780,1,2021,7,24,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-24 12:32,1.0,29.9653789,-90.3415312,S92242504,1,2021,7,24,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-24 12:15,1.0,28.4103887,-81.5716088,S92239220,1,2021,7,24,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-24 11:39,1.0,27.4222797,-82.4360632,S92225839,1,2021,7,24,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-24 10:30,1.0,28.6257499,-81.3204682,S92226717,1,2021,7,24,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-24 10:21,1.0,27.9465497,-82.7934623,S92233252,1,2021,7,24,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-24 09:27,4.0,32.971269,-80.040436,S92224149,1,2021,7,24,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-24 09:00,3.0,27.8230303,-80.7078614,S92422903,1,2021,7,24,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-24 08:39,1.0,29.5491092,-82.292372,S92218204,1,2021,7,24,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-24 08:31,3.0,28.3593428,-81.5909958,S92248606,1,2021,7,24,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-24 08:17,1.0,26.6085272,-81.9179664,S92221088,1,2021,7,24,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-24 08:15,4.0,26.4845439,-80.6574823,S92233031,1,2021,7,24,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-24 07:50,1.0,26.8848084,-82.2877679,S92383340,1,2021,7,24,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-24 07:45,1.0,27.8720862,-82.6715183,S92260983,1,2021,7,24,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-24 07:30,3.0,27.7424626,-82.6626306,S92244471,1,2021,7,24,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-24 07:26,1.0,28.3688214,-81.5570068,S92216914,1,2021,7,24,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-24 07:26,1.0,26.1769932,-81.7844796,S92213398,1,2021,7,24,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-24 07:00,1.0,33.4841686,-84.2789641,S92385158,1,2021,7,24,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-24 07:00,1.0,28.69129,-81.403484,S92232115,1,2021,7,24,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-23 20:06,3.0,27.012577,-82.036256,S92202072,1,2021,7,23,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-23 18:30,1.0,27.3444035,-82.4482457,S92236961,1,2021,7,23,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-23 16:22,1.0,29.36687,-95.622436,S92192728,1,2021,7,23,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-23 15:32,1.0,27.245431,-82.306427,S92249283,1,2021,7,23,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-23 10:55,1.0,28.695783,-81.411192,S92210393,1,2021,7,23,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-23 10:45,2.0,29.3667438,-95.6224279,S92178581,1,2021,7,23,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-23 10:11,7.0,32.957262,-80.018992,S92174351,1,2021,7,23,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-23 09:59,1.0,26.2941399,-81.4859544,S92177524,1,2021,7,23,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-23 09:48,2.0,28.3994038,-80.8301926,S92174059,1,2021,7,23,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-23 09:30,1.0,27.913417,-82.7749035,S92208955,1,2021,7,23,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-23 09:29,1.0,28.2299949,-80.8110523,S92176883,1,2021,7,23,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-23 09:21,1.0,27.776199,-80.496848,S92171489,1,2021,7,23,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-23 08:55,3.0,27.8452331,-82.7763927,S92226601,1,2021,7,23,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-23 08:55,1.0,29.6179943,-82.2511673,S92171048,1,2021,7,23,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-23 08:46,2.0,28.3312609,-81.2778533,S92196474,1,2021,7,23,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-23 08:15,2.0,27.8832249,-82.8083432,S92196559,1,2021,7,23,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-23 07:51,2.0,27.91258,-82.774232,S92173041,1,2021,7,23,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-23 07:32,1.0,28.6511002,-82.2767521,S92172706,1,2021,7,23,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-23 07:30,1.0,26.0758749,-81.7151284,S92189570,1,2021,7,23,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-23 07:11,1.0,28.1307501,-81.4790642,S92168672,1,2021,7,23,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-22 18:52,3.0,29.3663844,-95.6069235,S92154854,1,2021,7,22,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-22 18:30,1.0,26.8165642,-80.0868773,S92424409,1,2021,7,22,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-22 14:55,1.0,27.301524,-82.254013,S92155944,1,2021,7,22,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-22 10:22,1.0,28.209889,-82.628026,S92129898,1,2021,7,22,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-22 10:00,2.0,26.6293528,-80.3059387,S92139145,1,2021,7,22,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-22 09:21,1.0,28.8451812,-81.9517422,S92128275,1,2021,7,22,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-22 08:15,2.0,28.1439001,-82.6609078,S92245495,1,2021,7,22,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-22 08:13,1.0,26.463077,-81.673619,S92169647,1,2021,7,22,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-22 08:12,1.0,28.2064531,-82.6127489,S92126028,1,2021,7,22,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-22 07:46,4.0,28.4270119,-81.434108,S92134922,1,2021,7,22,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-22 07:30,1.0,29.3669174,-95.62253,S92135720,1,2021,7,22,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-22 07:07,5.0,27.396644,-81.107366,S92158282,1,2021,7,22,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-22 06:45,4.0,26.8582653,-81.9401121,S92134720,1,2021,7,22,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-22 06:30,2.0,26.2957026,-81.487646,S92126984,1,2021,7,22,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-21 19:42,1.0,28.3751271,-81.5333918,S92110013,1,2021,7,21,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-21 18:30,2.0,29.3665091,-95.6225817,S92109415,1,2021,7,21,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-21 18:10,1.0,30.4745686,-84.2529586,S92106254,1,2021,7,21,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-21 17:44,4.0,27.872863,-81.0518074,S92105791,1,2021,7,21,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-21 17:00,4.0,32.971243,-80.040405,S92104461,1,2021,7,21,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-21 16:30,1.0,30.365942,-84.3001404,S92101734,1,2021,7,21,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-21 15:52,1.0,28.5441162,-81.3731575,S92101715,1,2021,7,21,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-21 15:23,1.0,28.425854,-81.433528,S92100360,1,2021,7,21,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-21 15:18,1.0,28.983416,-81.230209,S92101175,1,2021,7,21,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-21 15:13,1.0,26.113198,-80.229238,S92098259,1,2021,7,21,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-21 13:00,1.0,27.942679,-81.205037,S92161795,1,2021,7,21,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-21 09:09,2.0,27.365057,-82.461553,S92082137,1,2021,7,21,Aramidae
