Species_Code,Common_Name,Scientific_Name,Date,Bird_Count,lat,lng,subId,Notable_Normal,Year,Month,Day,Family_Name,Notable
limpki,Limpkin,Aramus guarauna,2021-07-29 15:45,1.0,27.876358399999997,-82.8090332,S92482616,1,2021,7,29,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-29 14:19,1.0,26.684909,-80.39089,S92518904,1,2021,7,29,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-29 13:30,1.0,26.492813899999998,-80.21688940000001,S92476134,1,2021,7,29,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-29 10:29,3.0,28.803863899999996,-81.87737779999999,S92462695,1,2021,7,29,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-29 09:48,1.0,27.608460600000004,-80.47727309999999,S92459855,1,2021,7,29,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-29 09:33,1.0,27.234490700000002,-82.3113895,S92466936,1,2021,7,29,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-29 08:40,1.0,26.726145000000002,-81.652422,S92501137,1,2021,7,29,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-29 08:09,2.0,26.2768695,-80.214057,S92455504,1,2021,7,29,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-29 08:00,5.0,29.070806,-81.413014,S92484149,1,2021,7,29,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-29 07:31,2.0,28.060513,-82.03058840000001,S92455179,1,2021,7,29,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-29 07:24,1.0,27.031513699999998,-81.066569,S92582158,1,2021,7,29,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-29 07:22,1.0,28.040016100000003,-82.6979113,S92453095,1,2021,7,29,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-29 07:16,3.0,26.314016600000002,-81.6349089,S92457300,1,2021,7,29,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-29 06:35,1.0,28.042420299999996,-81.2065585,S92456739,1,2021,7,29,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-28 20:30,2.0,27.04598,-82.39989,S92441463,1,2021,7,28,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-28 19:41,1.0,27.70151,-82.359709,S92441017,1,2021,7,28,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-28 18:13,4.0,27.910936100000004,-81.1496745,S92437749,1,2021,7,28,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-28 17:30,10.0,26.6012,-80.0828,S92475789,1,2021,7,28,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-28 17:13,1.0,28.094794,-82.706551,S92434910,1,2021,7,28,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-28 16:49,1.0,26.6997339,-80.23361329999999,S92431985,1,2021,7,28,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-28 16:41,1.0,28.3713614,-81.5490365,S92443446,1,2021,7,28,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-28 14:44,1.0,28.796178,-81.736195,S92426935,1,2021,7,28,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-28 10:04,1.0,26.571620899999996,-81.8258929,S92419531,1,2021,7,28,Aramidae,No
